Full Node Name|Asset Number|Asset Owner|Manufacturer|Purchase Date|Serial Number|System Model|Floor space|DOMS RFID|Planned Decommission Date
025fv1b.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB97E|ESERVER P5 590 9119|CQ-CR 60|02F120D5|06-OCT-11
025fv2b.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB97D|ESERVER P5 590 9119|CQ/CR-60|02F120D5|06-OCT-11
026fv1c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0F8E7E|ESERVER P5 590 9119|DI/DJ26|02F0F9F7|06-OCT-11
026fv2c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0F8E7D|ESERVER P5 590 9119|DI/DJ26|02F0F9F7|
143dv1c.via.novonet||Customer|IBM|2009-01-06 00:00:00|0XA0FB57C|ESERVER P5 570 9117|S21 U1|02F0ECE7|
143dv2c.via.novonet||Customer|IBM|2009-01-06 00:00:00|0XA0FB57B|ESERVER P5 570 9117|S21 U1|02F0ECE7|
22bdv1b.via.novonet||Customer|IBM|2009-01-06 00:00:00|0XA0FB5FC|ESERVER P5 570 9117|Row 21 Rack 31|02F11B2D|
22bdv2b.via.novonet||Customer|IBM|2009-01-06 00:00:00|0XA0FB5FB|ESERVER P5 570 9117|Row 21 Rack 31|02F11B2D|
3590-manual ctl.via.novonet|1346094|HP||2010-05-25 00:00:00|1346094||Refer to DOMS||
3590-manual dr0.via.novonet||HP||2010-05-25 00:00:00|||Refer to DOMS||
3590-manual dr1.via.novonet||HP||2010-05-25 00:00:00|||Refer to DOMS||
3838143.via.novonet|383843|HP||2010-12-01 00:00:00|GB80333T4F||||
3838421.via.novonet|3838421|HP||2010-11-25 00:00:00|GB80417Y25|HP C7000|Refer to DOMS|02F0F321|
3838422.via.novonet|3838422|HP||2010-11-25 00:00:00|GB80365D5H|HP C7000|Refer to DOMS|02F0F3F4|
3fbdv1b.via.novonet||Customer|IBM|2009-06-05 00:00:00|0XA0FB5FA|ESERVER P5 570 9117|Rack 31 U23 FP057|02F11B25|
3fbdv2b.via.novonet||Customer|IBM|2009-06-05 00:00:00|0XA0FB5F9|ESERVER P5 570 9117|Rack 31 U23 FP057|02F11B25|
5b4dv1c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB593|ESERVER P5 590 9119|DN-27/29|02F0F9F5|
5b4dv2c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB592|ESERVER P5 590 9119|DN-27/29|02F0F9F5|
5b5dv1b.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB4A6|ESERVER P5 590 9119|CR-CQ/57-58|02F120D7|
5b5dv2b.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0EB4A5|ESERVER P5 590 9119|CR-CQ/57-58|02F120D7|
